"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02366",6870.50720406839,2.68325239185818,0.0617586699800252,43.447379820939,0,0
"IBPFAHIO_02531",23592.9650111145,2.45728694429975,0.0594999246318536,41.2989925534162,0,0
"IBPFAHIO_02584",1547.28019888589,-3.2627426686366,0.0819381603604541,-39.8195743507479,0,0
"IBPFAHIO_02763",8938.77192714731,3.09078973331329,0.0609747919969501,50.6896314376584,0,0
"IBPFAHIO_02777",19396.7901705203,5.37512058373763,0.0678307072204135,79.2431747213156,0,0
"IBPFAHIO_02778",5942.22506611291,4.49482469820071,0.0759974296756277,59.1444305075254,0,0
"IBPFAHIO_02779",1640.57064018357,4.06929829888877,0.0936018320637998,43.4745582342353,0,0
"IBPFAHIO_02873",4548.91507444594,-2.83673969870285,0.0630623893224442,-44.9830672320124,0,0
"IBPFAHIO_02874",2407.42087239227,-4.42139927794521,0.0927309780972152,-47.6798516382519,0,0
"IBPFAHIO_03034",88693.5302711407,2.69609828236724,0.0629025148571385,42.8615340497991,0,0
"IBPFAHIO_03035",20178.6090057966,2.72273025675509,0.0550093187756628,49.4958002999245,0,0
"IBPFAHIO_03105",2909.21391028005,3.00133790371128,0.0732911600657916,40.9508854958369,0,0
"IBPFAHIO_01659",7001.38429520807,-2.09067286330951,0.0557365675253471,-37.5098962159581,6.35311947902681e-308,1.11409221707512e-306
"IBPFAHIO_01660",12429.2734783897,-2.26307257911782,0.0604041157813938,-37.465536078833,3.35517097803396e-307,5.84844474075261e-306
"IBPFAHIO_01729",2392.91368809319,-2.69374437866702,0.0719007209299996,-37.4647756493231,3.45220310899987e-307,5.98176383946346e-306
"IBPFAHIO_00537",1071.7006917813,3.47500450840356,0.0927637637265541,37.4607968543305,4.00753128339774e-307,6.90291335264545e-306
"IBPFAHIO_00980",1000.10854007666,4.9130175163529,0.131162496805547,37.4574869799607,4.53692150533396e-307,7.76881088354538e-306
"IBPFAHIO_00047",3322.86495862154,2.34162803683868,0.0628931447483116,37.2318484981075,2.08409748241151e-303,3.54784080192978e-302
"IBPFAHIO_00593",3631.41088367041,9.37839833452091,0.25199877534491,37.2160472672326,3.75445815217778e-303,6.35420214011018e-302
"IBPFAHIO_00025",4056.40709975663,3.35950867878932,0.0903043304014446,37.2020772852724,6.31626977540486e-303,1.06281279284414e-301
"IBPFAHIO_00720",6857.47564090478,2.39517480521287,0.0645532989459846,37.1038327137556,2.43677459659251e-301,4.07669589119586e-300
"IBPFAHIO_00128",33647.0011452022,-2.15983664718599,0.0582662593327087,-37.0683938169604,9.0786038365316e-301,1.51016090103677e-299
"IBPFAHIO_00388",2268.3757783741,-2.7003190204601,0.0730802899426952,-36.9500315690799,7.2749531413367e-299,1.20326071559268e-297
"IBPFAHIO_01496",19571.5677249865,-2.71445789283748,0.0735980903576017,-36.8821783234912,8.92240176157543e-298,1.46740743095741e-296
"IBPFAHIO_01440",6433.51294958227,-2.03620282467722,0.055247963979686,-36.8557079393172,2.36938888700955e-297,3.87488261240719e-296
"IBPFAHIO_00143",2420.9781051794,2.58572398187265,0.0702022743873482,36.8324816316585,5.57902381852925e-297,9.07292644454673e-296
"IBPFAHIO_01974",3009.137339902,2.52980135228552,0.068795199107266,36.7729345232511,5.0005064712674e-296,8.08693018769966e-295
"IBPFAHIO_00247",6949.7626334498,2.54117278329541,0.0694396521171797,36.5954135111042,3.38321905530788e-293,5.44118821547029e-292
"IBPFAHIO_01478",34770.2277656728,-2.01419043719895,0.0550628941969454,-36.5798141665914,5.98942943057044e-293,9.57979619362118e-292
"IBPFAHIO_01485",32064.5616592577,-2.20309001998749,0.0603517293625141,-36.5041738365808,9.52125258974512e-292,1.51455553490426e-290
"IBPFAHIO_01614",17298.7406893802,-1.90315296975109,0.0521764252371604,-36.475342285344,2.72859437523667e-291,4.31681425343149e-290
"IBPFAHIO_02052",118518.577623601,-2.23042110717326,0.0613926014902138,-36.3304543712616,5.3491119483565e-289,8.41689993603556e-288
"IBPFAHIO_01061",16012.2499074457,2.20384023498868,0.0607111634826411,36.300411795251,1.59389489388346e-288,2.49453120220148e-287
"IBPFAHIO_00367",4133.64332757259,-2.34473888741916,0.0649782421334509,-36.0849849185453,3.90106077759984e-285,6.07272081475568e-284
"IBPFAHIO_01003",2205.47388055198,-2.65715524699741,0.0736553510715418,-36.0755221221673,5.49001216914578e-285,8.50075820445924e-284
"IBPFAHIO_01599",6290.6174437301,2.20592680124124,0.0611758734809512,36.0587708147415,1.00499339974495e-284,1.54790253262305e-283
